epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,33.2114,0.87654,1.3061,1.04883,0.30547,0.40272,0.4231,0.2514,0.97059,2.69517,1.11421,0.00100473,0.00100473,0.00100473
21,34.7244,0.79559,1.25934,1.01721,0.26612,0.43034,0.33809,0.23257,0.93671,3.09057,1.07935,0.0010025,0.0010025,0.0010025
22,35.9308,0.85398,1.24846,1.05013,0.46128,0.50761,0.37933,0.264,0.96311,2.80996,1.14003,0.000990125,0.000990125,0.000990125
23,37.4414,0.8747,1.32678,1.05222,0.46894,0.57507,0.39978,0.27308,0.99693,2.51927,1.21991,0.00097775,0.00097775,0.00097775
24,38.9701,0.87218,1.20262,1.06906,0.67502,0.60045,0.65974,0.48252,0.91098,1.7607,1.13737,0.000965375,0.000965375,0.000965375
25,40.5311,0.87416,1.24354,1.05926,0.76493,0.68398,0.82243,0.64931,0.84013,1.52164,1.00879,0.000953,0.000953,0.000953
26,42.1344,0.8483,1.28493,1.06386,0.79418,0.68003,0.85241,0.66617,0.78775,1.42717,0.9779,0.000940625,0.000940625,0.000940625
27,43.5166,0.82611,1.21652,1.01864,0.77657,0.81309,0.88299,0.72392,0.76921,1.31407,0.97448,0.00092825,0.00092825,0.00092825
28,45.449,0.87228,1.20112,1.05925,0.5723,0.49904,0.52546,0.44256,0.82026,1.88949,1.03349,0.000915875,0.000915875,0.000915875
29,46.7292,0.87938,1.16292,1.05591,0.5046,0.58315,0.55161,0.45657,0.80777,1.99994,1.03722,0.0009035,0.0009035,0.0009035
30,47.8109,0.84332,1.285,1.05653,0.86702,0.63655,0.74566,0.6135,0.78994,1.58858,1.01077,0.000891125,0.000891125,0.000891125
31,48.8971,0.80433,1.16495,1.03363,0.89038,0.68984,0.83027,0.67803,0.79163,1.36354,0.99425,0.00087875,0.00087875,0.00087875
32,50.0268,0.83413,1.1132,1.02573,0.81939,0.67507,0.80594,0.64579,0.86532,1.38035,1.04617,0.000866375,0.000866375,0.000866375
33,51.13,0.83874,1.04724,1.02364,0.67648,0.6564,0.7521,0.61504,0.82738,1.63432,1.00403,0.000854,0.000854,0.000854
34,52.2242,0.82424,1.05528,1.06283,0.67828,0.61808,0.67693,0.54869,0.80702,1.73453,0.9848,0.000841625,0.000841625,0.000841625
35,53.3292,0.84865,1.05776,1.01968,0.7182,0.62297,0.71781,0.56528,0.81106,1.68185,0.99739,0.00082925,0.00082925,0.00082925
36,55.0308,0.77539,0.98276,1.00801,0.77019,0.57417,0.61133,0.47625,0.88172,1.94818,1.05367,0.000816875,0.000816875,0.000816875
37,56.9247,0.75819,0.95539,1.00786,0.80485,0.56469,0.65817,0.51424,0.85089,1.64491,1.0188,0.0008045,0.0008045,0.0008045
38,58.2784,0.80535,0.96239,1.03428,0.78677,0.56011,0.67095,0.5352,0.85973,1.63665,1.04346,0.000792125,0.000792125,0.000792125
39,60.2634,0.81338,1.14613,1.06895,0.69951,0.60578,0.69753,0.559,0.87046,1.59662,1.08367,0.00077975,0.00077975,0.00077975
40,61.5962,0.86477,1.09763,1.03257,0.67072,0.52593,0.56905,0.47053,0.86854,2.15454,1.10093,0.000767375,0.000767375,0.000767375
41,63.3605,0.8115,0.96468,1.02368,0.79081,0.44765,0.56368,0.4549,0.90182,2.47466,1.11541,0.000755,0.000755,0.000755
42,64.8787,0.79635,1.09175,1.04091,0.79859,0.49051,0.57205,0.46779,0.88001,2.42377,1.07694,0.000742625,0.000742625,0.000742625
43,66.4471,0.78773,0.92395,1.02336,0.81955,0.58136,0.71059,0.58528,0.80433,1.72947,1.00304,0.00073025,0.00073025,0.00073025
44,67.5564,0.76785,0.95289,1.00417,0.85521,0.73599,0.83423,0.67132,0.77701,1.23623,0.96876,0.000717875,0.000717875,0.000717875
45,68.6663,0.78833,0.99212,1.01883,0.82229,0.70092,0.81852,0.65506,0.77358,1.28132,0.9692,0.0007055,0.0007055,0.0007055
46,69.8052,0.7653,0.91751,1.02865,0.78978,0.64677,0.79857,0.6397,0.76369,1.42577,0.97942,0.000693125,0.000693125,0.000693125
47,70.9421,0.76274,0.90594,1.01225,0.78539,0.68932,0.78905,0.66223,0.74854,1.43065,0.97052,0.00068075,0.00068075,0.00068075
48,72.1478,0.71086,0.95695,1.00079,0.88016,0.76167,0.85991,0.70647,0.7704,1.03465,1.01096,0.000668375,0.000668375,0.000668375
49,73.3008,0.74761,0.87349,1.01154,0.83243,0.6813,0.80524,0.65023,0.79438,1.25525,1.01039,0.000656,0.000656,0.000656
50,74.4567,0.77084,0.90889,1.01415,0.71991,0.69391,0.75964,0.6077,0.80947,1.48643,0.99902,0.000643625,0.000643625,0.000643625
51,75.5896,0.72092,0.87429,1.0172,0.61316,0.75655,0.72533,0.57848,0.78279,1.55784,0.97656,0.00063125,0.00063125,0.00063125
52,76.7622,0.76789,0.84879,1.03212,0.72575,0.77295,0.75998,0.62077,0.79941,1.38062,0.97018,0.000618875,0.000618875,0.000618875
53,77.9449,0.75525,0.91539,1.03007,0.75513,0.76529,0.80673,0.65892,0.82914,1.27369,0.99178,0.0006065,0.0006065,0.0006065
54,79.0997,0.79127,1.00689,1.03606,0.77398,0.77177,0.83536,0.67674,0.83718,1.13561,1.01326,0.000594125,0.000594125,0.000594125
55,80.8732,0.70564,0.93091,0.97987,0.80677,0.81816,0.83611,0.6678,0.8235,1.05485,1.01979,0.00058175,0.00058175,0.00058175
56,82.0618,0.7648,0.85791,1.01883,0.84499,0.79977,0.86027,0.71409,0.72836,0.96494,0.97455,0.000569375,0.000569375,0.000569375
57,83.2086,0.72746,0.85146,0.98847,0.90423,0.7942,0.88882,0.73572,0.72621,0.91263,0.9605,0.000557,0.000557,0.000557
58,84.3849,0.77017,0.87075,0.99753,0.86586,0.77238,0.86993,0.71254,0.75301,1.06139,0.95528,0.000544625,0.000544625,0.000544625
59,85.5732,0.72605,0.83757,0.99956,0.81376,0.75786,0.83432,0.67182,0.77587,1.21647,0.95565,0.00053225,0.00053225,0.00053225
60,87.6127,0.72405,0.87158,1.00303,0.88294,0.73976,0.86295,0.70925,0.73239,1.13723,0.92727,0.000519875,0.000519875,0.000519875
61,89.6611,0.70299,0.81638,1.00246,0.86705,0.74947,0.87338,0.73415,0.70855,1.05507,0.91274,0.0005075,0.0005075,0.0005075
62,91.2591,0.69844,0.82256,1.00601,0.88317,0.784,0.87873,0.7477,0.69205,0.97338,0.9105,0.000495125,0.000495125,0.000495125
63,94.3302,0.70658,0.78593,0.99226,0.88077,0.77182,0.89665,0.75828,0.6832,0.90892,0.91125,0.00048275,0.00048275,0.00048275
64,95.5555,0.66094,0.79884,0.9803,0.88481,0.75297,0.90007,0.75604,0.68981,0.89015,0.92226,0.000470375,0.000470375,0.000470375
65,96.7347,0.67428,0.82046,0.96085,0.78752,0.83571,0.90194,0.75805,0.68815,0.8873,0.9258,0.000458,0.000458,0.000458
66,97.9151,0.69663,0.80346,0.99595,0.80306,0.82702,0.90271,0.75627,0.68919,0.87974,0.92887,0.000445625,0.000445625,0.000445625
67,99.0816,0.68325,0.77435,0.96212,0.84844,0.79493,0.90451,0.75801,0.69647,0.87222,0.93932,0.00043325,0.00043325,0.00043325
68,100.274,0.71228,0.87346,1.00623,0.85279,0.80072,0.90874,0.7731,0.67067,0.827,0.9316,0.000420875,0.000420875,0.000420875
69,101.475,0.67976,0.80336,0.99068,0.86156,0.80566,0.90162,0.77114,0.6521,0.83479,0.92075,0.0004085,0.0004085,0.0004085
70,102.653,0.68558,0.74714,0.9782,0.88464,0.81209,0.90308,0.77662,0.65784,0.83073,0.93117,0.000396125,0.000396125,0.000396125
71,103.824,0.69216,0.81559,0.98532,0.91186,0.81056,0.90407,0.77308,0.64988,0.8346,0.92442,0.00038375,0.00038375,0.00038375
72,105.01,0.67709,0.78375,0.99681,0.81534,0.86062,0.93685,0.80444,0.63794,0.75156,0.92787,0.000371375,0.000371375,0.000371375
73,106.19,0.65968,0.73113,0.95995,0.89656,0.82922,0.93946,0.80993,0.63247,0.76215,0.92425,0.000359,0.000359,0.000359
74,107.353,0.68409,0.74797,1.00796,0.90122,0.83097,0.93854,0.81057,0.6286,0.78649,0.91964,0.000346625,0.000346625,0.000346625
75,108.537,0.68169,0.8039,0.99452,0.87997,0.82997,0.9444,0.81306,0.63893,0.82376,0.9207,0.00033425,0.00033425,0.00033425
76,109.758,0.67474,0.71829,0.98065,0.94865,0.83778,0.95845,0.81599,0.66486,0.75604,0.92442,0.000321875,0.000321875,0.000321875
77,110.938,0.66906,0.76123,0.96385,0.92497,0.87039,0.95935,0.81204,0.6621,0.70152,0.91847,0.0003095,0.0003095,0.0003095
78,112.106,0.64962,0.72289,0.98708,0.96287,0.8669,0.95957,0.81587,0.65857,0.67387,0.92084,0.000297125,0.000297125,0.000297125
79,113.317,0.66784,0.7235,0.98161,0.9493,0.87187,0.95508,0.81495,0.64901,0.67353,0.91886,0.00028475,0.00028475,0.00028475
80,114.545,0.63836,0.71016,0.97769,0.9017,0.86417,0.95094,0.81724,0.65465,0.69052,0.92381,0.000272375,0.000272375,0.000272375
81,115.742,0.64211,0.68812,0.96221,0.91165,0.83598,0.92918,0.79705,0.65389,0.71004,0.92525,0.00026,0.00026,0.00026
82,116.927,0.64594,0.73283,0.95227,0.90179,0.83138,0.926,0.78517,0.64886,0.71945,0.92709,0.000247625,0.000247625,0.000247625
83,118.131,0.64172,0.71467,0.96968,0.89895,0.84049,0.92396,0.79372,0.64416,0.7147,0.92049,0.00023525,0.00023525,0.00023525
84,119.332,0.65199,0.71385,0.98972,0.91117,0.84716,0.92826,0.78564,0.64379,0.67036,0.9109,0.000222875,0.000222875,0.000222875
85,120.541,0.61809,0.75365,0.97556,0.91152,0.85718,0.93045,0.78935,0.64824,0.65702,0.91456,0.0002105,0.0002105,0.0002105
86,121.744,0.63266,0.72607,0.97756,0.89685,0.86706,0.92918,0.7915,0.64828,0.65258,0.91555,0.000198125,0.000198125,0.000198125
87,122.937,0.59588,0.64553,0.9478,0.87964,0.88597,0.92648,0.78818,0.64225,0.65542,0.9141,0.00018575,0.00018575,0.00018575
88,124.133,0.58504,0.62347,0.94958,0.8749,0.8973,0.9266,0.79247,0.63767,0.6642,0.91374,0.000173375,0.000173375,0.000173375
89,126.008,0.58231,0.65273,0.94241,0.86679,0.90063,0.92601,0.79755,0.64115,0.66605,0.91925,0.000161,0.000161,0.000161
90,127.202,0.5573,0.6478,0.94568,0.86148,0.90992,0.92402,0.79605,0.64682,0.66241,0.92539,0.000148625,0.000148625,0.000148625
91,130.867,0.50361,0.66357,0.87835,0.85628,0.91537,0.92731,0.78985,0.64942,0.65925,0.92912,0.00013625,0.00013625,0.00013625
92,132.21,0.5126,0.64121,0.88906,0.87412,0.88619,0.95003,0.80076,0.6512,0.67929,0.92498,0.000123875,0.000123875,0.000123875
93,133.399,0.54786,0.67086,0.95003,0.87382,0.8768,0.95041,0.80388,0.64739,0.69055,0.9177,0.0001115,0.0001115,0.0001115
94,134.604,0.50715,0.65916,0.9177,0.86753,0.91295,0.95692,0.81408,0.64395,0.69042,0.91049,9.9125e-05,9.9125e-05,9.9125e-05
95,135.82,0.55216,0.67469,0.91338,0.86496,0.91965,0.95868,0.81641,0.64379,0.68724,0.90783,8.675e-05,8.675e-05,8.675e-05
96,137.065,0.54582,0.68187,0.9306,0.93617,0.87085,0.96124,0.82564,0.6497,0.68144,0.90921,7.4375e-05,7.4375e-05,7.4375e-05
97,138.268,0.53878,0.69128,0.92449,0.9431,0.87221,0.9617,0.82487,0.64728,0.67522,0.90905,6.2e-05,6.2e-05,6.2e-05
98,139.452,0.50375,0.67732,0.9139,0.92361,0.88619,0.96169,0.82429,0.6409,0.66558,0.90623,4.9625e-05,4.9625e-05,4.9625e-05
99,141.146,0.52325,0.6442,0.91611,0.92183,0.88794,0.96123,0.8293,0.63618,0.6565,0.90617,3.725e-05,3.725e-05,3.725e-05
100,142.57,0.51823,0.71654,0.91186,0.93178,0.89598,0.96221,0.83462,0.63167,0.64137,0.90575,2.4875e-05,2.4875e-05,2.4875e-05
