epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58362,1.03861,3.29178,1.16058,0.00989,0.91818,0.1917,0.15294,0.85272,3.11337,0.95744,5e-05,5e-05,5e-05
2,8.98911,1.0882,3.31276,1.20035,0.00949,0.90076,0.26153,0.2042,0.74842,3.09878,0.91146,0.000111386,0.000111386,0.000111386
3,10.2501,0.99181,3.07584,1.1276,0.00967,0.97246,0.31747,0.24937,0.81785,3.08576,0.93293,0.000171535,0.000171535,0.000171535
4,11.4026,0.93016,2.82477,1.1147,0.01102,0.97246,0.3625,0.27463,0.82502,3.09481,0.95644,0.000230446,0.000230446,0.000230446
5,12.598,0.91797,2.74828,1.12478,0.011,0.96159,0.40391,0.32194,0.82449,3.07885,0.95118,0.00028812,0.00028812,0.00028812
6,13.7745,0.95557,2.57215,1.10285,0.00955,0.96159,0.3926,0.31545,0.8092,3.05214,0.9284,0.000344556,0.000344556,0.000344556
7,14.9245,0.91852,2.42561,1.098,0.00889,0.95402,0.42516,0.33251,0.83481,3.03123,0.95464,0.000399755,0.000399755,0.000399755
8,16.0884,1.00298,2.29467,1.16689,0.00869,0.92144,0.4614,0.3782,0.75734,2.99246,0.93086,0.000453716,0.000453716,0.000453716
9,17.5605,0.93013,2.06003,1.13357,0.00867,0.91057,0.48814,0.37661,0.89156,2.97699,0.99591,0.00050644,0.00050644,0.00050644
10,18.991,0.97167,1.98899,1.17948,0.00894,0.95402,0.47533,0.39593,0.84391,2.89595,0.98171,0.000557926,0.000557926,0.000557926
11,20.4401,0.93684,1.79983,1.11033,0.33325,0.66873,0.52796,0.43247,0.81403,2.82113,0.99955,0.000608175,0.000608175,0.000608175
12,21.9201,0.9034,1.71768,1.10306,0.94538,0.29259,0.65357,0.51162,0.89462,2.52264,1.01995,0.000657186,0.000657186,0.000657186
13,23.3288,0.94277,1.6864,1.12772,0.82438,0.32737,0.60203,0.46956,0.89185,2.45156,1.00826,0.00070496,0.00070496,0.00070496
14,24.4393,0.89527,1.49752,1.09184,0.93439,0.175,0.38221,0.29575,0.89712,2.58188,1.05178,0.000751496,0.000751496,0.000751496
15,26.4555,0.90253,1.47228,1.0594,0.73912,0.2947,0.53897,0.41391,0.92207,2.38474,1.07661,0.000796795,0.000796795,0.000796795
16,27.9381,0.90046,1.47427,1.10484,0.56973,0.19056,0.4642,0.35925,0.92281,2.42368,1.09054,0.000840856,0.000840856,0.000840856
17,29.4465,0.82719,1.43649,1.06078,0.43789,0.45537,0.52954,0.43768,0.89049,2.26916,1.06729,0.00088368,0.00088368,0.00088368
18,30.8704,0.87871,1.39698,1.0905,0.63342,0.55919,0.65987,0.53776,0.87774,2.07479,1.06288,0.000925266,0.000925266,0.000925266
19,32.0536,0.91936,1.38591,1.05357,0.5441,0.53639,0.60928,0.45836,0.99174,2.10152,1.14863,0.000965615,0.000965615,0.000965615
