epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,23.6129,0.87545,2.08162,1.18395,0.01263,0.88889,0.48933,0.43596,0.65971,2.94326,0.87165,0.000304476,0.000304476,0.000304476
43,24.0761,0.67531,2.00705,1.03115,0.01295,0.88889,0.4578,0.38842,0.73275,2.90019,0.90086,0.000306705,0.000306705,0.000306705
44,24.5214,0.78478,1.97856,1.14727,0.01295,0.88889,0.4578,0.38842,0.73275,2.90019,0.90086,0.000308686,0.000308686,0.000308686
45,24.9845,0.94408,2.20744,1.22784,0.01601,1,0.49973,0.42151,0.76946,2.84819,0.92122,0.00031042,0.00031042,0.00031042
46,25.4311,0.82024,2.07375,1.14302,0.01601,1,0.49973,0.42151,0.76946,2.84819,0.92122,0.000311906,0.000311906,0.000311906
47,25.9015,0.84282,1.8855,1.09754,0.01231,0.88889,0.50594,0.44118,0.76258,2.80179,0.92277,0.000313145,0.000313145,0.000313145
48,26.3498,0.69119,1.83653,1.0493,0.01231,0.88889,0.50594,0.44118,0.76258,2.80179,0.92277,0.000314136,0.000314136,0.000314136
49,26.8194,0.72388,1.77933,1.04721,0.01204,0.88889,0.60994,0.49094,0.78329,2.74728,0.9398,0.00031488,0.00031488,0.00031488
50,27.2781,0.75932,1.93656,1.07809,0.01204,0.88889,0.60994,0.49094,0.78329,2.74728,0.9398,0.000315376,0.000315376,0.000315376
51,27.7531,0.86747,1.87295,1.15064,0.2328,0.66667,0.60791,0.49112,0.76749,2.75556,0.92153,0.000315625,0.000315625,0.000315625
52,28.1973,0.77932,1.70085,1.15148,0.2328,0.66667,0.60791,0.49112,0.76749,2.75556,0.92153,0.000315626,0.000315626,0.000315626
53,28.6413,0.71327,1.79561,1.06641,0.2328,0.66667,0.60791,0.49112,0.76749,2.75556,0.92153,0.00031538,0.00031538,0.00031538
54,29.1102,0.80392,1.80974,1.22761,0.3587,0.58326,0.57916,0.47625,0.75343,2.75669,0.92601,0.000314886,0.000314886,0.000314886
55,29.5604,0.76454,1.66396,0.99092,0.3587,0.58326,0.57916,0.47625,0.75343,2.75669,0.92601,0.000314145,0.000314145,0.000314145
56,30.0152,0.79946,1.75382,1.08996,0.3587,0.58326,0.57916,0.47625,0.75343,2.75669,0.92601,0.000313156,0.000313156,0.000313156
57,30.476,0.74406,1.70276,1.02878,0.45165,0.40533,0.52964,0.44807,0.7632,2.72979,0.94465,0.00031192,0.00031192,0.00031192
58,30.9253,0.59606,1.67994,0.97445,0.45165,0.40533,0.52964,0.44807,0.7632,2.72979,0.94465,0.000310436,0.000310436,0.000310436
59,31.3738,0.68139,1.68271,1.05887,0.45165,0.40533,0.52964,0.44807,0.7632,2.72979,0.94465,0.000308705,0.000308705,0.000308705
